Mittari;Aika;val
Kuolemantapausten lukumäärä;2020-04-16;12
Tapausten lukumäärä;2020-04-17;125
Testausmäärä;2020-04-17;2710
Kuolemantapausten lukumäärä;2020-04-17;10
Tapausten lukumäärä;2020-04-18;56
Testausmäärä;2020-04-18;3692
Kuolemantapausten lukumäärä;2020-04-18;0
Tapausten lukumäärä;2020-04-19;67
Testausmäärä;2020-04-19;2362
Kuolemantapausten lukumäärä;2020-04-19;6
Tapausten lukumäärä;2020-04-20;143
Testausmäärä;2020-04-20;1844
Kuolemantapausten lukumäärä;2020-04-20;17
Tapausten lukumäärä;2020-04-21;112
Testausmäärä;2020-04-21;3620
Kuolemantapausten lukumäärä;2020-04-21;4
Tapausten lukumäärä;2020-04-22;124
Testausmäärä;2020-04-22;4202
Kuolemantapausten lukumäärä;2020-04-22;6
Tapausten lukumäärä;2020-04-23;116
Testausmäärä;2020-04-23;3664
Kuolemantapausten lukumäärä;2020-04-23;0
Tapausten lukumäärä;2020-04-24;92
Testausmäärä;2020-04-24;4055
Kuolemantapausten lukumäärä;2020-04-24;3
Tapausten lukumäärä;2020-04-25;76
Testausmäärä;2020-04-25;3141
Kuolemantapausten lukumäärä;2020-04-25;6
Tapausten lukumäärä;2020-04-26;73
Testausmäärä;2020-04-26;2485
Kuolemantapausten lukumäärä;2020-04-26;5
Tapausten lukumäärä;2020-04-27;123
Testausmäärä;2020-04-27;2440
Kuolemantapausten lukumäärä;2020-04-27;1
Tapausten lukumäärä;2020-04-28;139
Testausmäärä;2020-04-28;3788
Kuolemantapausten lukumäärä;2020-04-28;2
Tapausten lukumäärä;2020-04-29;108
Testausmäärä;2020-04-29;4450
Kuolemantapausten lukumäärä;2020-04-29;1
Tapausten lukumäärä;2020-04-30;86
Testausmäärä;2020-04-30;4179
Kuolemantapausten lukumäärä;2020-04-30;4
Tapausten lukumäärä;2020-05-01;48
Testausmäärä;2020-05-01;3375
Kuolemantapausten lukumäärä;2020-05-01;2
Tapausten lukumäärä;2020-05-02;58
Testausmäärä;2020-05-02;1483
Kuolemantapausten lukumäärä;2020-05-02;3
Tapausten lukumäärä;2020-05-03;61
Testausmäärä;2020-05-03;1649
Kuolemantapausten lukumäärä;2020-05-03;3
Tapausten lukumäärä;2020-05-04;133
Testausmäärä;2020-05-04;1767
Kuolemantapausten lukumäärä;2020-05-04;7
Tapausten lukumäärä;2020-05-05;125
Testausmäärä;2020-05-05;3771
Kuolemantapausten lukumäärä;2020-05-05;4
Tapausten lukumäärä;2020-05-06;95
Testausmäärä;2020-05-06;3808
Kuolemantapausten lukumäärä;2020-05-06;2
Tapausten lukumäärä;2020-05-07;108
Testausmäärä;2020-05-07;3832
Kuolemantapausten lukumäärä;2020-05-07;7
Tapausten lukumäärä;2020-05-08;81
Testausmäärä;2020-05-08;3322
Kuolemantapausten lukumäärä;2020-05-08;1
Tapausten lukumäärä;2020-05-09;47
Testausmäärä;2020-05-09;2810
Kuolemantapausten lukumäärä;2020-05-09;2
Tapausten lukumäärä;2020-05-10;28
Testausmäärä;2020-05-10;1819
Kuolemantapausten lukumäärä;2020-05-10;0
Tapausten lukumäärä;2020-05-11;92
Testausmäärä;2020-05-11;2208
Kuolemantapausten lukumäärä;2020-05-11;1
Tapausten lukumäärä;2020-05-12;67
Testausmäärä;2020-05-12;4055
Kuolemantapausten lukumäärä;2020-05-12;2
Tapausten lukumäärä;2020-05-13;78
Testausmäärä;2020-05-13;4011
Kuolemantapausten lukumäärä;2020-05-13;2
Tapausten lukumäärä;2020-05-14;50
Testausmäärä;2020-05-14;3896
Kuolemantapausten lukumäärä;2020-05-14;0
Tapausten lukumäärä;2020-05-15;55
Testausmäärä;2020-05-15;4353
Kuolemantapausten lukumäärä;2020-05-15;1
Tapausten lukumäärä;2020-05-16;25
Testausmäärä;2020-05-16;3450
Kuolemantapausten lukumäärä;2020-05-16;2
Tapausten lukumäärä;2020-05-17;29
Testausmäärä;2020-05-17;2312
Kuolemantapausten lukumäärä;2020-05-17;0
Tapausten lukumäärä;2020-05-18;45
Testausmäärä;2020-05-18;2360
Kuolemantapausten lukumäärä;2020-05-18;2
Tapausten lukumäärä;2020-05-19;41
Testausmäärä;2020-05-19;4946
Kuolemantapausten lukumäärä;2020-05-19;0
Tapausten lukumäärä;2020-05-20;43
Testausmäärä;2020-05-20;3696
Kuolemantapausten lukumäärä;2020-05-20;1
Tapausten lukumäärä;2020-05-21;22
Testausmäärä;2020-05-21;2965
Kuolemantapausten lukumäärä;2020-05-21;0
Tapausten lukumäärä;2020-05-22;32
Testausmäärä;2020-05-22;2216
Kuolemantapausten lukumäärä;2020-05-22;1
Tapausten lukumäärä;2020-05-23;18
Testausmäärä;2020-05-23;2630
Kuolemantapausten lukumäärä;2020-05-23;0
Tapausten lukumäärä;2020-05-24;20
Testausmäärä;2020-05-24;1554
Kuolemantapausten lukumäärä;2020-05-24;0
Tapausten lukumäärä;2020-05-25;45
Testausmäärä;2020-05-25;1744
Kuolemantapausten lukumäärä;2020-05-25;1
Tapausten lukumäärä;2020-05-26;33
Testausmäärä;2020-05-26;3638
Kuolemantapausten lukumäärä;2020-05-26;0
Tapausten lukumäärä;2020-05-27;12
Testausmäärä;2020-05-27;2971
Kuolemantapausten lukumäärä;2020-05-27;0
Tapausten lukumäärä;2020-05-28;30
Testausmäärä;2020-05-28;2983
Kuolemantapausten lukumäärä;2020-05-28;0
Tapausten lukumäärä;2020-05-29;21
Testausmäärä;2020-05-29;2804
Kuolemantapausten lukumäärä;2020-05-29;1
Tapausten lukumäärä;2020-05-30;10
Testausmäärä;2020-05-30;1945
Kuolemantapausten lukumäärä;2020-05-30;0
Tapausten lukumäärä;2020-05-31;12
Testausmäärä;2020-05-31;1295
Kuolemantapausten lukumäärä;2020-05-31;0
Tapausten lukumäärä;2020-06-01;17
Testausmäärä;2020-06-01;1685
Kuolemantapausten lukumäärä;2020-06-01;0
Tapausten lukumäärä;2020-06-02;15
Testausmäärä;2020-06-02;2875
Kuolemantapausten lukumäärä;2020-06-02;0
Tapausten lukumäärä;2020-06-03;25
Testausmäärä;2020-06-03;2860
Kuolemantapausten lukumäärä;2020-06-03;0
Tapausten lukumäärä;2020-06-04;12
Testausmäärä;2020-06-04;2798
Kuolemantapausten lukumäärä;2020-06-04;0
Tapausten lukumäärä;2020-06-05;13
Testausmäärä;2020-06-05;2321
Kuolemantapausten lukumäärä;2020-06-05;0
Tapausten lukumäärä;2020-06-06;13
Testausmäärä;2020-06-06;2042
Kuolemantapausten lukumäärä;2020-06-06;0
Tapausten lukumäärä;2020-06-07;4
Testausmäärä;2020-06-07;962
Kuolemantapausten lukumäärä;2020-06-07;0
Tapausten lukumäärä;2020-06-08;10
Testausmäärä;2020-06-08;1842
Kuolemantapausten lukumäärä;2020-06-08;0
Tapausten lukumäärä;2020-06-09;8
Testausmäärä;2020-06-09;2950
Kuolemantapausten lukumäärä;2020-06-09;0
Tapausten lukumäärä;2020-06-10;7
Testausmäärä;2020-06-10;2956
Kuolemantapausten lukumäärä;2020-06-10;0
Tapausten lukumäärä;2020-06-11;9
Testausmäärä;2020-06-11;2973
Kuolemantapausten lukumäärä;2020-06-11;0
Tapausten lukumäärä;2020-06-12;13
Testausmäärä;2020-06-12;2496
Kuolemantapausten lukumäärä;2020-06-12;0
Tapausten lukumäärä;2020-06-13;2
Testausmäärä;2020-06-13;1553
Kuolemantapausten lukumäärä;2020-06-13;0
Tapausten lukumäärä;2020-06-14;5
Testausmäärä;2020-06-14;826
Kuolemantapausten lukumäärä;2020-06-14;0
Tapausten lukumäärä;2020-06-15;16
Testausmäärä;2020-06-15;1899
Kuolemantapausten lukumäärä;2020-06-15;0
Tapausten lukumäärä;2020-06-16;8
Testausmäärä;2020-06-16;2991
Kuolemantapausten lukumäärä;2020-06-16;0
Tapausten lukumäärä;2020-06-17;4
Testausmäärä;2020-06-17;2730
Kuolemantapausten lukumäärä;2020-06-17;0
Tapausten lukumäärä;2020-06-18;8
Testausmäärä;2020-06-18;2069
Kuolemantapausten lukumäärä;2020-06-18;0
Tapausten lukumäärä;2020-06-19;0
Testausmäärä;2020-06-19;1440
Kuolemantapausten lukumäärä;2020-06-19;0
Tapausten lukumäärä;2020-06-20;2
Testausmäärä;2020-06-20;747
Kuolemantapausten lukumäärä;2020-06-20;1
Tapausten lukumäärä;2020-06-21;13
Testausmäärä;2020-06-21;687
Kuolemantapausten lukumäärä;2020-06-21;1
Tapausten lukumäärä;2020-06-22;5
Testausmäärä;2020-06-22;1604
Kuolemantapausten lukumäärä;2020-06-22;0
Tapausten lukumäärä;2020-06-23;5
Testausmäärä;2020-06-23;2635
Kuolemantapausten lukumäärä;2020-06-23;0
Tapausten lukumäärä;2020-06-24;17
Testausmäärä;2020-06-24;2330
Kuolemantapausten lukumäärä;2020-06-24;1
Tapausten lukumäärä;2020-06-25;14
Testausmäärä;2020-06-25;2693
Kuolemantapausten lukumäärä;2020-06-25;0
Tapausten lukumäärä;2020-06-26;3
Testausmäärä;2020-06-26;2176
Kuolemantapausten lukumäärä;2020-06-26;0
Tapausten lukumäärä;2020-06-27;2
Testausmäärä;2020-06-27;1556
Kuolemantapausten lukumäärä;2020-06-27;0
Tapausten lukumäärä;2020-06-28;7
Testausmäärä;2020-06-28;965
Kuolemantapausten lukumäärä;2020-06-28;0
Tapausten lukumäärä;2020-06-29;16
Testausmäärä;2020-06-29;1696
Kuolemantapausten lukumäärä;2020-06-29;1
Tapausten lukumäärä;2020-06-30;10
Testausmäärä;2020-06-30;2834
Kuolemantapausten lukumäärä;2020-06-30;0
Tapausten lukumäärä;2020-07-01;2
Testausmäärä;2020-07-01;2776
Kuolemantapausten lukumäärä;2020-07-01;0
Tapausten lukumäärä;2020-07-02;7
Testausmäärä;2020-07-02;3769
Kuolemantapausten lukumäärä;2020-07-02;0
Tapausten lukumäärä;2020-07-03;6
Testausmäärä;2020-07-03;3240
Kuolemantapausten lukumäärä;2020-07-03;0
Tapausten lukumäärä;2020-07-04;2
Testausmäärä;2020-07-04;2645
Kuolemantapausten lukumäärä;2020-07-04;0
Tapausten lukumäärä;2020-07-05;3
Testausmäärä;2020-07-05;1314
Kuolemantapausten lukumäärä;2020-07-05;0
Tapausten lukumäärä;2020-07-06;8
Testausmäärä;2020-07-06;2239
Kuolemantapausten lukumäärä;2020-07-06;0
Tapausten lukumäärä;2020-07-07;3
Testausmäärä;2020-07-07;4548
Kuolemantapausten lukumäärä;2020-07-07;0
Tapausten lukumäärä;2020-07-08;9
Testausmäärä;2020-07-08;4400
Kuolemantapausten lukumäärä;2020-07-08;0
Tapausten lukumäärä;2020-07-09;8
Testausmäärä;2020-07-09;4876
Kuolemantapausten lukumäärä;2020-07-09;0
Tapausten lukumäärä;2020-07-10;6
Testausmäärä;2020-07-10;4389
Kuolemantapausten lukumäärä;2020-07-10;0
Tapausten lukumäärä;2020-07-11;0
Testausmäärä;2020-07-11;3296
Kuolemantapausten lukumäärä;2020-07-11;0
Tapausten lukumäärä;2020-07-12;4
Testausmäärä;2020-07-12;2332
Kuolemantapausten lukumäärä;2020-07-12;0
Tapausten lukumäärä;2020-07-13;6
Testausmäärä;2020-07-13;3102
Kuolemantapausten lukumäärä;2020-07-13;0
Tapausten lukumäärä;2020-07-14;5
Testausmäärä;2020-07-14;5351
Kuolemantapausten lukumäärä;2020-07-14;0
Tapausten lukumäärä;2020-07-15;5
Testausmäärä;2020-07-15;5431
Kuolemantapausten lukumäärä;2020-07-15;0
Tapausten lukumäärä;2020-07-16;9
Testausmäärä;2020-07-16;4972
Kuolemantapausten lukumäärä;2020-07-16;0
Tapausten lukumäärä;2020-07-17;6
Testausmäärä;2020-07-17;5108
Kuolemantapausten lukumäärä;2020-07-17;0
Tapausten lukumäärä;2020-07-18;7
Testausmäärä;2020-07-18;4131
Kuolemantapausten lukumäärä;2020-07-18;0
Tapausten lukumäärä;2020-07-19;5
Testausmäärä;2020-07-19;2136
Kuolemantapausten lukumäärä;2020-07-19;0
Tapausten lukumäärä;2020-07-20;12
Testausmäärä;2020-07-20;3296
Kuolemantapausten lukumäärä;2020-07-20;1
Tapausten lukumäärä;2020-07-21;8
Testausmäärä;2020-07-21;5462
Kuolemantapausten lukumäärä;2020-07-21;0
Tapausten lukumäärä;2020-07-22;11
Testausmäärä;2020-07-22;5042
Kuolemantapausten lukumäärä;2020-07-22;0
Tapausten lukumäärä;2020-07-23;3
Testausmäärä;2020-07-23;5477
Kuolemantapausten lukumäärä;2020-07-23;0
Tapausten lukumäärä;2020-07-24;10
Testausmäärä;2020-07-24;4752
Kuolemantapausten lukumäärä;2020-07-24;0
Tapausten lukumäärä;2020-07-25;4
Testausmäärä;2020-07-25;3760
Kuolemantapausten lukumäärä;2020-07-25;0
